"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords"
"Xiaowen, Y.; Jingjing, D.; Biao, W.; Shenzhong, Z.; Yana, W.","Xiaowen, Yang (59158194700); Jingjing, Ding (58767495500); Biao, Wang (59553500500); Shenzhong, Zhang (58664610100); Yana, Wu (59553364400)","59158194700; 58767495500; 59553500500; 58664610100; 59553364400","Design strategies for artificial intelligence based future learning centers in medical universities","2025","BMC Medical Education","0","10.1186/s12909-025-06640-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217698882&doi=10.1186%2Fs12909-025-06640-x&partnerID=40&md5=0f555867434586f9c64a439e7d6ba370","Nanjing Medical University, Nanjing, China; Nanjing Medical University, Nanjing, China; Nanjing Medical University, Nanjing, China","Xiaowen, Yang, Nanjing Medical University, Nanjing, China; Jingjing, Ding, Nanjing Medical University, Nanjing, China; Biao, Wang, Nanjing Medical University, Nanjing, China; Shenzhong, Zhang, Nanjing Medical University, Nanjing, China; Yana, Wu, Nanjing Medical University, Nanjing, China","Background: This study explores the acceptance of artificial intelligence(AI) tools in medical students and its influencing factors, thus providing theoretical basis and practical guidance for the construction of future learning centers in medical universities. Methods: This study comprehensively applied the unified theory of acceptance and use of technology(UTAUT), expectancy confirmation theory (ECT), and innovation diffusion theory (IDT) to analyze the data through structural equation modeling. Results: Effort expectancy (EE), facilitating condition (FC), social influence (SI), and satisfaction (SA) significantly influence medical students’ continuance intention (CI) to use artificial intelligence tools. Relative advantage (RA) has a significant impact on medical students’ satisfaction (SA) with artificial intelligence tools. Personal innovativeness (PI) plays a significant positive moderating role in the relationships between facilitating condition (FC) and continuance intention (CI), as well as between satisfaction (SA) and continuance intention (CI). Conclusions: The construction of AI-based future learning centers in medical universities should attach importance to providing personalized learning paths, ensuring technical support and training, creating a collaborative and innovative environment, and showcasing the comparative advantage of tools. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Expectancy confirmation theory (ECT); Future learning center; Innovation diffusion theory (IDT); Medical universities; Unified theory of acceptance and use of technology(UTAUT)","article; artificial intelligence; diffusion of innovation; expectancy; female; human; learning; medical student; structural equation modeling; behavior; male; psychology; young adult; Artificial Intelligence; Female; Humans; Intention; Learning; Male; Students, Medical; Young Adult"
"Herreras Martínez, S.; Mesman, J.; Møller Sneum, D.M.; Holstenkamp, L.; Harmsen, R.; Menkveld, M.; Akerboom, S.; Faaij, A.","Herreras Martínez, Sara (55838676500); Mesman, Justus (59551003200); Møller Sneum, Daniel Moller (57200686921); Holstenkamp, Lars (56536883000); Harmsen, Robert (37070555000); Menkveld, Marijke (57210248024); Akerboom, Sanne (57214076685); Faaij, André P.C. (6701681600)","55838676500; 59551003200; 57200686921; 56536883000; 37070555000; 57210248024; 57214076685; 6701681600","From consumers to pioneers: insights from thermal energy communities in Denmark, Germany and the Netherlands","2025","Energy, Sustainability and Society","4","10.1186/s13705-024-00499-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217517263&doi=10.1186%2Fs13705-024-00499-4&partnerID=40&md5=550f476198f174aec9920fc8989ed1a6","Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Municipality of The Hague, The Hague, Netherlands; Lunds Universitet, Lund, Sweden; Technical University, Lyngby, Nigeria; Leuphana Universität Lüneburg, Luneburg, Germany; ECOLOG, Lüneburg, Germany; Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Netherlands","Herreras Martínez, Sara, Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Mesman, Justus, Department of Urban Development, Municipality of The Hague, The Hague, Netherlands; Møller Sneum, Daniel Moller, Lunds Universitet, Lund, Sweden, Department of Technology, Technical University, Lyngby, Nigeria; Holstenkamp, Lars, Institute of Sustainability Governance, Leuphana Universität Lüneburg, Luneburg, Germany, Institute of Social-Ecological Research and Education, ECOLOG, Lüneburg, Germany; Harmsen, Robert, Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Menkveld, Marijke, Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Netherlands; Akerboom, Sanne, Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Faaij, André P.C., Copernicus Institute of Sustainable Development, Utrecht, Netherlands, Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Netherlands","Background: While energy communities working on electricity provision have been extensively studied, thermal energy communities (TECs) focusing on bringing district heating (DH) systems to decarbonise heat systems in buildings have been relatively under-researched. This study addresses this gap by presenting the first comprehensive examination of key factors influencing the emergence and development of TEC projects in Denmark, Germany, and the Netherlands. The study uses an established analytical framework from previous research encompassing seven dimensions: market structure, hard- and soft institutions, financing, physical infrastructure, capacity, and interactions with other stakeholders. Data are gathered through a literature review and interviews. Results: TECs have emerged at different times in each country, shaped by contextual circumstances and diverse forms of institutional support. Elements that have supported the development of TECs are regulatory frameworks promoting DH growth, heat decarbonisation policies, economic incentives to use waste heat in plants, targeted financing mechanisms, and assistance to enhance the capacity of TECs. External factors such as high oil prices, seismic events, and recent rising energy prices have also spurred project initiation. TECs also rely on additional factors for success, including organisational and entrepreneurial abilities to engage with stakeholders, gain social acceptance, and secure commitment from community members. Involvement from local government, intermediary organisations, and private companies is crucial for TEC implementation. Among the studied countries, Danish TECs stand out as the most developed, benefiting from a stable policy environment, decades of experience with DH and TEC, and positive societal perceptions. Conversely, Dutch and German TECs face challenges because of the early stage of their heat transition, dealing with financial obstacles, underdeveloped policies, unfamiliarity with DH technology and with TECs, as well as the need for expensive infrastructure changes. Shared challenges across regions include capacity limitations in small projects and implementing cost-effective, local, and sustainable heat sources. Conclusions: In light of the study's findings, policymakers must consider establishing stable, integral and flexible policies supporting heat decarbonisation and TECs, addressing TECs' reliance on limited capacities, involving TECs in local heat municipal plans, and facilitating high DH connection rates where DH is the most cost-effective solution from a socio-economic perspective. © 2025 Elsevier B.V., All rights reserved.","","Diesel engines; Waste heat; Comprehensive examination; Decarbonisation; Denmark; District heating system; Energy; Heat systems; In-buildings; Key factors; Netherlands; Thermal; Cost effectiveness; analytical framework; cost analysis; electricity generation; literature review; pioneer species; socioeconomic conditions; stakeholder; thermal power; Germany"
"Buehler, D.; Luethi, L.; Rousseau, D.P.L.; Aubert, A.H.; Bozzola, M.","Buehler, Devi (56707624100); Luethi, Laila (60110170000); Rousseau, Diederik P.L. (14034699000); Aubert, Alice Helene (55523952700); Bozzola, Martina (55980168300)","56707624100; 60110170000; 14034699000; 55523952700; 55980168300","Drivers for the adoption of circular water systems at the building level in a high-income context","2025","Water Research X","0","10.1016/j.wroa.2025.100416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016788347&doi=10.1016%2Fj.wroa.2025.100416&partnerID=40&md5=7487fa1e77b993c465e05026b6a14638","ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland; Universiteit Gent, Ghent, Belgium; Forschungsinstitut für biologischen Landbau, Frick, Switzerland; Queen's University Belfast, Belfast, United Kingdom","Buehler, Devi, Institute of Natural Resource Sciences, ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland, Department of Green Chemistry and Technology, Universiteit Gent, Ghent, Belgium; Luethi, Laila, Institute of Natural Resource Sciences, ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland; Rousseau, Diederik P.L., Department of Green Chemistry and Technology, Universiteit Gent, Ghent, Belgium; Aubert, Alice Helene, Institute of Natural Resource Sciences, ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland; Bozzola, Martina, Forschungsinstitut für biologischen Landbau, Frick, Switzerland, School of Biological Sciences, Queen's University Belfast, Belfast, United Kingdom","Circular water systems at the building level offer potential for sustainable water management. Yet, user acceptance and willingness to pay (WTP) challenge their adoption. This study explores factors shaping acceptance and WTP by surveying 496 respondents on attitudes toward circular water systems and maintenance preferences. In addition, 76 visitors to the KREIS-Haus, a living lab in Switzerland, were surveyed to examine the influence of direct experience with circular water and building practices. Environmental awareness emerged as the most consistent predictor of acceptance of and WTP for circular water systems, while factors including living arrangement, environmental knowledge, dwelling size, and gender were significant in specific contexts. Among the circular practices presented, the use of treated rainwater as potable water, received the highest acceptance. Practices related to the nutrient cycle, such as composting toilets and producing fertiliser from human waste, were less accepted. About half of the respondents were open to participating in gardening (47 %) and minor technical maintenance (50 %), while preferring to outsource compost toilet management. Preferences were shaped by hygiene concerns, perceived effort, and fairness in task distribution. Visiting the KREIS-Haus increased acceptance and WTP, indicating a positive effect of experiential learning. These findings highlight the importance of combining behavioural, organisational, and contextual factors to enhance acceptance. Future research should explore the structure and long-term feasibility of maintenance models and whether stated acceptance leads to actual behavioural change. © 2025 Elsevier B.V., All rights reserved.","Building-level water reuse; Circular water systems; User acceptance; Willingness to pay","Behavioral research; Buildings; Composting; Economics; Maintenance; Sustainable development; Waste treatment; Water conservation; Water treatment; Building levels; Building-level water reuse; Circular water system; Living lab; Sustainable water management; Switzerland; Users' acceptance; Water reuse; Water system; Willingness to pay; Potable water; drinking water; rain; water; building; hygiene; nutrient cycling; perception; public attitude; rainwater; technology adoption; water management; water use; willingness to pay; adolescent; adoption; adult; aged; Article; awareness; behavior change; compost; composting; engagement; exercise; experiential learning; fairness; female; gardening; gender; high income country; human; knowledge; male; middle aged; nutrient cycle; personal experience; pharmaceutics; questionnaire; sample; size; social acceptance; waste water recycling; water insecurity; water supply; Willingness To Pay"
"Mangiò, F.; Pedeliento, G.; Wassler, P.; Williams, N.","Mangiò, Federico (57224403824); Pedeliento, Giuseppe (56038740700); Wassler, Philipp (56270707800); Williams, Nigel L. (55232599000)","57224403824; 56038740700; 56270707800; 55232599000","Discursively negotiating AI: A social representation theory approach to LLM-based chatbots","2025","Technological Forecasting and Social Change","0","10.1016/j.techfore.2025.124352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016679829&doi=10.1016%2Fj.techfore.2025.124352&partnerID=40&md5=2d0111deb2dbaf71c7bca7f54e894b91","Università degli Studi di Bergamo, Bergamo, Italy; University of Portsmouth, Portsmouth, United Kingdom","Mangiò, Federico, Università degli Studi di Bergamo, Bergamo, Italy; Pedeliento, Giuseppe, Università degli Studi di Bergamo, Bergamo, Italy; Wassler, Philipp, Università degli Studi di Bergamo, Bergamo, Italy; Williams, Nigel L., University of Portsmouth, Portsmouth, United Kingdom","To date, users have not merely interacted with large language model (LLM)-based chatbots. Notably, they collectively discussed about them, flooding the online information ecosystem with a sheer volume of social media posts about LLM-based chatbots. Despite research on users' reception of this equivocal technology is on the rise, it is mainly rooted in positivist and functionalist paradigms, leaving a finer-grained understanding of how early adopters collectively make sense of such novel and unfamiliar technology in dedicated online environments elusive. Drawing upon Social Representation Theory, this study employs a computationally grounded analysis of user-generated content to investigate how the social representations of LLM-based chatbots formed in online communities. Findings reveal that users, through different discursive and emotional anchoring and objectification mechanisms, represent the LLM-based chatbot as a “creative partner”, a “multistable artifact”, a “connective hackaton”, and a “technology of power”. This work contributes to the emerging literature about LLM-based chatbots acceptance by unveiling how users discursively make sense of such unfamiliar social objects, and how they renegotiate the agentic roles of both actants involved in human-chatbot interactions. It showcases an original text-mining protocol to study social representations based on social media data; and it offers managerial implications to AI service providers and policy makers. © 2025 Elsevier B.V., All rights reserved.","Chatbots; Large-language-models; Social representation theory; Technology acceptance; Text-mining","Artificial intelligence; Computation theory; Data mining; Online systems; Social networking (online); Chatbots; Language model; Large-language-model; Model-based OPC; Representation theory; Social media; Social representation theory; Social representations; Technology acceptance; Text-mining; artificial intelligence; information and communication technology; policy making; service provision; social behavior; social media; social network; technology adoption; theoretical study"
"Chittaro, L.","Chittaro, Luca (7004119007)","7004119007","Yoga in augmented reality: comparison of a 3D experience versus traditional video of a lesson","2025","Virtual Reality","0","10.1007/s10055-025-01231-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016456017&doi=10.1007%2Fs10055-025-01231-z&partnerID=40&md5=59f4c68e5085df9ccac19b074c787b22","Università degli Studi di Udine, Udine, Italy","Chittaro, Luca, Department of Mathematics, Università degli Studi di Udine, Udine, Italy","A growing body of research supports the health benefits of yoga for the general population, as well as its role as a complementary therapy for various physical and mental health conditions. Despite these benefits, many individuals find it difficult to regularly attend in-person yoga classes due to factors like geographical location, physical and/or mental health status, work schedules, or personal commitments. Currently, people try to overcome these barriers by using digital technologies, accessing live or recorded yoga lessons online and watching them on common screens. However, practicing yoga via traditional 2D screens can present challenges such as difficulty in perceiving and understanding the postures, as well as feeling less engaged, motivated, and socially connected with the instructor. This paper introduces an augmented reality (AR) solution that enables individuals to participate in yoga classes with a 3D instructor appearing in real-life size and depth within their living environments. The paper evaluates the application through a user study that compares it to the traditional 2D video approach. Results demonstrate significantly higher scores in perceived empathy, behavioral involvement, technology acceptance, and intrinsic motivation with the 3D instructor. Moreover, they suggest that combining the 3D instructor with additional AR elements that guide the user has a positive effect on user’s self-competence. In discussing the findings, the paper outlines specific ways in which the application could be further improved. © 2025 Elsevier B.V., All rights reserved.","Augmented reality; Digital workout; User experience; User study; Virtual instructor; Yoga","Behavioral research; User experience; User interfaces; Virtual reality; 3d experiences; Digital workout; Growing bodies; Health benefits; Mental health; Research support; User study; Users' experiences; Virtual instructors; Yoga; Augmented reality"
"Wang, J.; Lian, X.; Qi, X.","Wang, Juying (60056421800); Lian, Xuelei (60055953200); Qi, Xin (57204968576)","60056421800; 60055953200; 57204968576","Understanding consumers’ willingness to accept digital exhibitions in the metaverse: evidence from China","2025","Humanities and Social Sciences Communications","0","10.1057/s41599-025-05681-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014884485&doi=10.1057%2Fs41599-025-05681-3&partnerID=40&md5=102db51f52fc221f57319f232b919063","Ocean University of China, Qingdao, China","Wang, Juying, Management College, Ocean University of China, Qingdao, China; Lian, Xuelei, Management College, Ocean University of China, Qingdao, China; Qi, Xin, Management College, Ocean University of China, Qingdao, China","The metaverse is reshaping the digital commerce landscape, with digital exhibitions emerging as a novel form of marketing engagement. Despite growing academic interest in immersive technologies, existing research has largely focused on general consumer interactions within virtual environments, with limited attention to context-specific applications such as digital exhibitions. This study addresses this gap by examining the key factors influencing consumers’ willingness to engage with digital exhibitions in the metaverse. Employing a mixed-methods approach, this research commenced with a qualitative phase, in which 20 in-depth interviews were conducted. Insights from these interviews facilitated the expansion of the unified theory of acceptance and use of technology 2 (UTAUT2) model, which served as the theoretical framework for this investigation. An online survey was subsequently administered to Chinese consumers, from which 283 valid responses were collected. The data analysis utilized partial least squares structural equation modelling (PLS-SEM) and fuzzy-set qualitative comparative analysis (fsQCA), revealing the following findings: 1) effort expectancy and the trust-risk relationship significantly impact consumers’ willingness to accept digital exhibitions; 2) electronic word of mouth significantly mediates the relationships among performance expectancy, effort expectancy, social influence, hedonic motivation, and behavioural intention, underscoring its importance; and 3) high performance and social needs orientation as well as trust-related ease of use and hedonic orientation constitute the two principal configurational pathways leading to heightened behavioural intention. This study extends the UTAUT2 model to the emerging context of metaverse-based digital exhibitions, offering a refined framework for understanding consumer acceptance in immersive environments. The findings provide actionable insights for designers and marketers aiming to enhance user engagement, build trust, and strategically leverage social influence within digital exhibition—an area of increasing relevance in the digital economy. © 2025 Elsevier B.V., All rights reserved.","",""
"Keller, T.; Guggemos, J.; Warwas, J.","Keller, Thomas (59236964300); Guggemos, Josef (57200695415); Warwas, Julia (33068459800)","59236964300; 57200695415; 33068459800","Digital educational escape rooms as a novel approach to cybersecurity education: An empirical study on learner perceptions of usefulness and usability","2025","Computers in Human Behavior Reports","0","10.1016/j.chbr.2025.100785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013878670&doi=10.1016%2Fj.chbr.2025.100785&partnerID=40&md5=f25d498f3a1b01f93c5ed00cbe69d1aa","Universität Hohenheim, Stuttgart, Germany; University of Education Schwäbisch Gmünd, Schwabisch Gmund, Germany","Keller, Thomas, Department of Education, Universität Hohenheim, Stuttgart, Germany; Guggemos, Josef, Department of Vocational Education and Training, University of Education Schwäbisch Gmünd, Schwabisch Gmund, Germany; Warwas, Julia, Department of Education, Universität Hohenheim, Stuttgart, Germany","With the increasing number and severity of cybersecurity incidents, programs for security education, training, and awareness (SETA) have become essential components of organizational and educational strategies to promote information-secure behavior at the workplace. While traditional training is often perceived as uninspiring and tedious, digital educational escape rooms (DEERs) are a promising tool that combines immersive, game-based learning with authentic problem scenarios to improve cybersecurity skills. Despite their growing popularity in cybersecurity education, key acceptance factors of DEERs have not been systematically investigated. This study applies the technology acceptance model (TAM) to examine how perceived usefulness and perceived ease of use affect the intentions of target learner groups to engage with DEERs in SETA programs. A total of 217 participants, comprising trainees, students, and employees, played one randomly selected DEER from a set of three on password management, privacy and data security, and social engineering. After completion, participants evaluated the learning environment using a standardized TAM-based questionnaire. Structural equation modeling revealed that perceived usefulness was the strongest predictor of learners’ intentions to engage with DEERs. Perceived ease of use influenced engagement intention directly and indirectly by positively affecting perceived usefulness. Multigroup analysis revealed no significant differences across age, gender, professional background, or DEER scenario. These findings highlight the importance of balancing ease of use with the extent to which learners perceive the content to be meaningful, important, and relevant to their professional context in order to ensure acceptance and effective integration of DEERs into SETA programs. © 2025 Elsevier B.V., All rights reserved.","Cybersecurity; Digital educational escape rooms; Gamification; Technology acceptance; Vocational education",""
"Cerjak, M.; Medici, M.; Faletar, I.; Sundeep, J.V.; Canavari, M.","Cerjak, Marija (8226059400); Medici, Marco (55801265200); Faletar, Ivica (56850370900); Sundeep, Jada Venkata (60056295500); Canavari, Maurizio (12244213400)","8226059400; 55801265200; 56850370900; 60056295500; 12244213400","Adoption of mobile-based agricultural extension services: evidence from South India","2025","Journal of Rural Studies","0","10.1016/j.jrurstud.2025.103851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013793910&doi=10.1016%2Fj.jrurstud.2025.103851&partnerID=40&md5=a8a1743644532bac0f0a66954d6b98a6","University of Zagreb, Faculty of Agriculture, Zagreb, Croatia; UniLaSalle, Beauvais, France; Alma Mater Studiorum Università di Bologna, Bologna, Italy","Cerjak, Marija, University of Zagreb, Faculty of Agriculture, Zagreb, Croatia; Medici, Marco, UniLaSalle, Beauvais, France; Faletar, Ivica, University of Zagreb, Faculty of Agriculture, Zagreb, Croatia; Sundeep, Jada Venkata, Department of Agricultural and Food Sciences, Alma Mater Studiorum Università di Bologna, Bologna, Italy; Canavari, Maurizio, Department of Agricultural and Food Sciences, Alma Mater Studiorum Università di Bologna, Bologna, Italy","Mobile-based agricultural extension services (MAES) have emerged as vital tools in disseminating farming knowledge, particularly in remote areas, offering real-time advice on crop management and weather forecasts. However, barriers such as digital literacy, language diversity, and scepticism towards technology adoption persist. This study examines farmers' adoption of MAES, using survey data collected from 230 farmers in Karnataka, southern India. By developing a hybrid Technology Acceptance Model (TAM), the study integrates socio-economic factors influencing MAES adoption, including constructs such as personal innovativeness, technology familiarity, and economic motivation to provide a more comprehensive understanding of the behavioral drivers of technology uptake. Findings highlight that, in low-experience environments where traditional livelihoods intersect with rapidly developing scientific and technical infrastructure, farmers' adoption of MAES is influenced more by interest, familiarity and perceived economic benefits than by perceived ease of use or usefulness alone. This suggests that social networks, cultural perceptions of technology, and rural economic structures play a significant role in shaping adoption patterns. The study underscores MAES potential to improve agricultural productivity and rural livelihood in South India, emphasising the need for specific policy interventions that address socio-economic disparities and enhance digital literacy while fostering collaborative efforts between policymakers, agricultural experts, and technology providers. © 2025 Elsevier B.V., All rights reserved.","Attitudes; Digital literacy; Intention to use; Technology transfer; Technology uptake","agricultural extension; farmers attitude; language; literacy; technology adoption; technology transfer; India; Karnataka"
"Martínez-Buelvas, L.; Rakotonirainy, A.; Grant-Smith, D.; Haque, M.M.; Oviedo-Trespalacios, O.","Martínez-Buelvas, Laura Patricia (57039103600); Rakotonirainy, Andry (55945030200); Grant-Smith, Deanna Chantal Cristina (54420128200); Haque, Md Mazharul (57202600056); Oviedo-Trespalacios, Oscar (56331561100)","57039103600; 55945030200; 54420128200; 57202600056; 56331561100","Public perceptions and support for policies enhancing safety and justice in connected and automated vehicles and vulnerable road users interactions","2025","Case Studies on Transport Policy","0","10.1016/j.cstp.2025.101571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013636005&doi=10.1016%2Fj.cstp.2025.101571&partnerID=40&md5=968163dce8ce5cad8b84f1ec1cddfffb","Centre for Accident Research and Road Safety – Queensland, Brisbane, Australia; University of the Sunshine Coast, Sippy Downs, Australia; Queensland University of Technology, Brisbane, Australia; Faculteit Techniek, Bestuur en Management, TU Delft, Delft, Netherlands","Martínez-Buelvas, Laura Patricia, Centre for Accident Research and Road Safety – Queensland, Brisbane, Australia; Rakotonirainy, Andry, Centre for Accident Research and Road Safety – Queensland, Brisbane, Australia; Grant-Smith, Deanna Chantal Cristina, School of Business and Creative Industries, University of the Sunshine Coast, Sippy Downs, Australia; Haque, Md Mazharul, School of Civil and Environmental Engineering, Queensland University of Technology, Brisbane, Australia; Oviedo-Trespalacios, Oscar, Safety and Security Science Section, Faculteit Techniek, Bestuur en Management, TU Delft, Delft, Netherlands","Despite the anticipated benefits, the rollout of Connected and Automated Vehicles (CAVs) is likely to encounter numerous challenges, including public readiness to adopt and coexist with these vehicles. This study utilised a cross-sectional survey of 384 Australian residents aged 18 to 82 (M = 42.93, SD = 15.48) to assess public perceptions and support for policies designed to enhance safety and justice in interactions between CAVs and vulnerable road users (VRUs) such as pedestrians, cyclists and people with disabilities. Participants evaluated 15 policies (identified through a structured, expert-informed process as a preliminary stage) across five evaluation dimensions: acceptability for improving safety within the transport system, acceptability for improving justice within the transport system, perceived improvement of safety for all VRUs, perceived improvement of justice for all VRUs, and willingness to support each policy. Data were analysed using descriptive statistics, cluster analysis, and hierarchical regression models. Policies focusing on systemic improvements, such as VRU-focused infrastructure and technology enhancements, received strong public support. Public preferences align with policies promoting fairness and inclusivity, while punitive measures and VRU-burdening policies were resisted. Cluster analysis identified three groups: VRU-burdening policies (low support), VRU-centric safety policies (moderate support), and VRU-focused infrastructure and technology policies (high support). Regression analyses revealed that factors such as age, transport accessibility, and disability influenced policy support. A content analysis revealed a strong preference for prioritising public transport investment, implementing inclusive urban designs, and establishing robust ethical frameworks. The findings highlight the need for policies that prioritise VRU safety and justice in CAV deployment. Support for inclusive, non-punitive measures points to the importance of fairness and system-wide reforms. To transition toward a safer, more equitable transport system, the study suggests the potential for more radical, community-driven policies and increased transparency in CAV development. © 2025 Elsevier B.V., All rights reserved.","Connected and automated vehicles; Governance; Justice; Policy acceptance; Safety; Transport policy","environmental justice; public attitude; public transport; survey method; transparency; transportation policy"
"Barati, A.A.; Asadi, A.; Sardar Shahraki, H.; Dehghani Pour, M.; Naroui Rad, M.R.","Barati, Ali Akbar (56467855700); Asadi, A. A. (35304718500); Sardar Shahraki, Hengameh (60054699300); Dehghani Pour, Milad (57194419456); Naroui Rad, Mohammad Reza (35300384100)","56467855700; 35304718500; 60054699300; 57194419456; 35300384100","Farmers’ attitude and intention towards medicinal plants cultivation: experiences from semi-arid areas of Iran","2025","Journal of Arid Environments","0","10.1016/j.jaridenv.2025.105465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013634239&doi=10.1016%2Fj.jaridenv.2025.105465&partnerID=40&md5=3d152db4e14de5d56961af0b19783e3c","University of Tehran, Tehran, Iran; University of the Sunshine Coast, Sippy Downs, Australia; AREEO, Zabol, Iran","Barati, Ali Akbar, Department of Agricultural Management and Development, University of Tehran, Tehran, Iran; Asadi, A. A., Department of Agricultural Management and Development, University of Tehran, Tehran, Iran; Sardar Shahraki, Hengameh, Department of Agricultural Management and Development, University of Tehran, Tehran, Iran; Dehghani Pour, Milad, Institute for Cancer Research, University of the Sunshine Coast, Sippy Downs, Australia; Naroui Rad, Mohammad Reza, Horticulture Crops Research Department, AREEO, Zabol, Iran","The livelihoods of a considerable portion of the population in arid and semi-arid regions, particularly in rural communities, depends on small-scale agriculture. Despite the growing global demand for medicinal plants (MPs), little is known about the behavioral mechanisms influencing farmers' adoption decisions in challenging environments like Iran. This study fills this gap by extending the Technology Acceptance Model (TAM) to examine farmers' adoption behavior of MPs cultivation, incorporating contextual challenges as external factors. Data were collected through structured questionnaires administered to 139 randomly selected farmers and all 25 pre-identified experts with specialized knowledge and field experience in medicinal plants in Sistan and Baluchestan province, Iran. Partial Least Squares Structural Equation Modeling (PLS-SEM) was employed to analyze the relationships between challenges, perceived ease of use, usefulness, and adoption behavior. The results revealed that while farmers had a positive attitude toward MPs' usefulness (mean score: 3.18/5), adoption was hindered by low perceived ease of cultivation (mean: 1.77/5). Key challenges included high production costs (ranked 1st by CV = 0.332), lack of marketing infrastructure (CV = 0.333), and technical skill gaps. Crucially, farmers’ intentions were influenced more by perceived ease (β = 0.520) than usefulness (β = 0.185), contrasting with classic TAM predictions. This highlights a disconnect between economic potential and practical feasibility in resource-scarce settings. The study contributes to the literature by demonstrating the dominance of ease-of-use over usefulness in agricultural technology adoption among low-literacy farmers; quantifying the mediating role of infrastructural and technical barriers on behavioral intentions; and providing actionable insights for policymakers to prioritize skill development and value-chain investments over purely economic incentives. © 2025 Elsevier B.V., All rights reserved.","Agricultural development; Cropping pattern adaptation; Farmers' intention; Structural Equation Modeling (SEM); Technology Acceptance Model (TAM)","adoption behavior; agricultural technology; cultivation; marketing; medicinal plant; public attitude; semiarid region; technology adoption; Iran; Sistan va Baluchestan"
